"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HB3EDWEQ","journalArticle","2023","Ng, Davy Tsz Kit; Leung, Jac Ka Lok; Su, Jiahong; Ng, Ross Chi Wui; Chu, Samuel Kai Wah","Teachers’ AI digital competencies and twenty-first century skills in the post-pandemic world","Educational technology research and development: A bi-monthly publication of the Association for Educational Communications & Technology","","10421629","10.1007/s11423-023-10203-6","","The pandemic has catalyzed a significant shift to online/blended teaching and learning where teachers apply emerging technologies to enhance their students’ learning outcomes. Artificial intelligence (AI) technology has gained its popularity in online learning environments during the pandemic to assist students’ learning. However, many of these AI tools are new to teachers. They may not have rich technical knowledge to use AI educational applications to facilitate their teaching, not to mention developing students’ AI digital capabilities. As such, there is a growing need for teachers to equip themselves with adequate digital competencies so as to use and teach AI in their teaching environments. There are few existing frameworks informing teachers of necessary AI competencies. This study first explores the opportunities and challenges of employing AI systems and how they can enhance teaching, learning and assessment. Then, aligning with generic digital competency frameworks, the DigCompEdu framework and P21’s framework for twenty-first century learning were adapted and revised to accommodate AI technologies. Recommendations are proposed to support educators and researchers to promote AI education in their classrooms and academia.<br />","2023-02-01","2024-06-07 05:49:54","2024-06-07 05:49:54","","137-161","","1","71","","Educational technology research and development: A bi-monthly publication of the Association for Educational Communications & Technology","","","","","","","","English","","","","","EBSCOhost","","Place: New York Publisher: Springer US","","/Users/ayaan/Zotero/storage/XWWJNZ3L/Ng et al. - 2023 - Teachers’ AI digital competencies and twenty-first.pdf","","","AI education; AI literacy; Digital competency; Teacher; Twenty-first century skills","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQS6NKKT","book","2024","Al-Marzouqi, Amina; Salloum, Said A.; Al-Saidat, Mohammed; Aburayya, Ahmed; Gupta, Babeet","Artificial Intelligence in Education: The Power and Dangers of ChatGPT in the Classroom","","978-3-031-52279-6","","","","This book aims to bring together a collection of innovative and cutting-edge research that addresses the various challenges in the application and theoretical aspects of ChatGPT in education. ChatGPT is a large language model developed by OpenAI that has the ability to generate human-like text based on a prompt. This has significant potential for use in the field of education, as it allows for the creation of personalized, interactive learning experiences, automating assessment and grading, and more. In e-learning, ChatGPT is used to provide instant feedback and support to students, as well as generate interactive conversations in the target language for language learning. It is also integrated with existing learning management systems and educational technology platforms to enhance their capabilities. In research, ChatGPT is used for natural language processing and sentiment analysis to gather insights on student learning experiences and educational outcomes. However, it is important to note that there are also ethical and privacy concerns that come with using language models like ChatGPT in education, such as data protection and the potential for bias. Overall, the use of ChatGPT in education has the potential to revolutionize the way we learn, teach, and access information. The book seeks to publish original manuscripts that cover a broad range of topics, from the development of new chatbot technologies and their integration into the classroom, to the examination of the ethical and pedagogical implications of these systems. By compiling the latest developments in the field and highlighting new areas for exploration, this book provides valuable insights and perspectives for researchers, educators, and practitioners working in the field of ChatGPT and education. The ultimate goal is to advance the understanding of ChatGPT and its role in education and to promote its effective and responsible use in the classroom and beyond.","2024-01-01","2024-06-07 05:49:54","2024-06-07 05:49:54","","","","","00144","","","Artificial Intelligence in Education","Studies in Big Data","","","","Springer","Cham","English","","","","","EBSCOhost","","","","","","","Artificial intelligence--Educational applications; COMPUTERS / Artificial Intelligence / General; COMPUTERS / Data Science / General; COMPUTERS / Database Administration & Management; MATHEMATICS / Probability & Statistics / General; TECHNOLOGY & ENGINEERING / Engineering (General)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMV293W8","journalArticle","2024","Yi, Honghu; Liu, Ting; Lan, Gongjin","The key artificial intelligence technologies in early childhood education: a review","Artificial Intelligence Review: An International Science and Engineering Journal","","02692821","10.1007/s10462-023-10637-7","","Artificial Intelligence (AI) technologies have been applied in various domains, including early childhood education (ECE). Integration of AI educational technology is a recent significant trend in ECE. Currently, there are more and more studies of AI in ECE. To date, there is a lack of survey articles that discuss the studies of AI in ECE. In this paper, we provide an up-to-date and in-depth overview of the key AI technologies in ECE that provides a historical perspective, summarizes the representative works, outlines open questions, discuss the trends and challenges through a detailed bibliometric analysis, and provides insightful recommendations for future research. We mainly discuss the studies that apply AI-based robots and AI technologies to ECE, including improving the social interaction of children with an autism spectrum disorder. This paper significantly contributes to provide an up-to-date and in-depth survey that is suitable as introductory material for beginners to AI in ECE, as well as supplementary material for advanced users.<br />","2024-01-01","2024-06-07 05:49:54","2024-06-07 05:49:54","","","","1","57","","Artificial Intelligence Review: An International Science and Engineering Journal","The key artificial intelligence technologies in early childhood education","","","","","","","English","","","","","EBSCOhost","","Place: Dordrecht Publisher: Springer Netherlands","","/Users/ayaan/Zotero/storage/9GB3TJPW/Yi et al. - 2024 - The key artificial intelligence technologies in ea.pdf","","","Artificial Intelligence; Early childhood education; Educational technology; Improving classroom teaching; Teaching/learning strategies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8L92FPJ","journalArticle","2024","Lee, Alwyn Vwen Yen","Staying ahead with generative artificial intelligence for learning: navigating challenges and opportunities with 5Ts and 3Rs.","Asia Pacific Journal of Education","","0218-8791","10.1080/02188791.2024.2305171","","Generative Artificial Intelligence (AI)'s emergence is viewed as a disruptive technological advancement that has been beneficial for most educational purposes but also coupled with emerging challenges and potentially destabilizing effects. Given the unprecedented onset and surge in interests, education stakeholders are often pressured to adopt such emergent technologies with little space and time to seek better understanding and to attain literacy. This paper brings together existing contributions to identify a list of five common themes (5Ts) and various uses of generative AI for improving students learning and future education research. The challenges and opportunities from the use of generative AI in education were also explored, and as part of a rethink of how stakeholders can continue to be relevant in a dynamic learning environment with emerging technologies, three ""R"" guidelines (3Rs) are also proposed to aid educators and students to stay ahead of the curve in addressing challenges and embracing opportunities arising from the use of generative AI for learning.","2024-03-01","2024-06-07 05:49:54","2024-06-07 05:49:54","","81-93","","1","44","","Asia Pacific Journal of Education","Staying ahead with generative artificial intelligence for learning","","","","","","","eng","","","","","EBSCOhost","","Publisher: Taylor & Francis Ltd","","","","","Administration of Education Programs; All Other Miscellaneous Schools and Instruction; ARTIFICIAL intelligence in education; CLASSROOM environment; EDUCATION research; Educational Support Services; EDUCATIONAL technology; STAKEHOLDERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DK3ZX79","journalArticle","2024","Jia, Fenglin; Sun, Daner; Looi, Chee-kit","Artificial Intelligence in Science Education (2013–2023): Research Trends in Ten Years","Journal of Science Education and Technology","","10590145","10.1007/s10956-023-10077-6","","The use of artificial intelligence has played an important role in science teaching and learning. The purpose of this study was to fill a gap in the current review of research on AI in science education (AISE) in the early stage of education by systematically reviewing existing research in this area. This systematic review examined the trends and research foci of AI in the science of early stages of education. This review study employed a bibliometric analysis and content analysis to examine the characteristics of 76 studies on Artificial Intelligence in Science Education (AISE) indexed in Web of Science and Scopus from 2013 to 2023. The analytical tool CiteSpace was utilized for the analysis. The study aimed to provide an overview of the development level of AISE and identify major research trends, keywords, research themes, high-impact journals, institutions, countries/regions, and the impact of AISE studies. The results, based on econometric analyses, indicate that AISE has experienced increasing influence over the past decade. Cluster and timeline analyses of the retrieved keywords revealed that AI in primary and secondary science education can be categorized into 11 main themes, and the chronology of their emergence was identified. Among the most prolific journals in this field are the International Journal of Social Robotics, Educational Technology Research and Development, and others. Furthermore, the analysis identified that institutions and countries/regions located primarily in the United States have made the most significant contributions to AISE research. To explore the learning outcomes and overall impact of AI technologies on learners in primary and secondary schools, content analysis was conducted, identifying five main categories of technology applications. This study provides valuable insights into the advancements and implications of AI in science education at the primary and secondary levels.<br />","2024-02-01","2024-06-07 05:49:54","2024-06-07 05:49:54","","94-117","","1","33","","Journal of Science Education and Technology","Artificial Intelligence in Science Education (2013–2023)","","","","","","","English","","","","","EBSCOhost","","Place: Dordrecht Publisher: Springer Netherlands","","","","","Artificial Intelligence; Bibliometric literature review; Primary and Secondary Schools; Science Education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DGQ2IHTA","journalArticle","2023","Chen, Xieling; Cheng, Gary; Zou, Di; Zhong, Baichang; Xie, Haoran","Artificial Intelligent Robots for Precision Education: A Topic Modeling Based Bibliometric Analysis","Educational Technology & Society","","14364522","10.30191/ETS.202301_26(1).0013","","As a human-friendly system, the artificial intelligence (AI) robot is one of the critical applications in promoting precision education. Alongside the call for humanity-oriented applications in education, AI robot- supported precision education has developed into an active field, with increasing literature available. This study aimed to comprehensively analyze directions taken in the past in this research field to interpret a roadmap for future work. By adopting structural topic modeling, the Mann-Kendall trend test, and keyword analysis, we investigated the research topics and their dynamics in the field based on literature collected from Web of Science and Scopus databases up to 2021. Results showed that AI robots and chatbots had been widely used in different subject areas (e.g., early education, STEM education, medical, nursing, and healthcare education, and language education) for promoting collaborative learning, mobile/game-based learning, distance learning, and affective learning. However, a limited practice in developing true human-centered AI (HCAI)-supported educational robots is available. To advance HCAI in education and its application in educational robots for precision education, we suggested involving humans in AI robot design, thinking of individual learners, testing, and understanding the learner-AI robot interaction, taking an HCAI multidisciplinary approach in robot system development, and providing sufficient technical support for instructors during robot implementation. Keywords: Artificial intelligence robots, Topic modeling, Bibliometric analysis, Precision education, Research topics, Future of human-centered artificial intelligence","2023-01-01","2024-06-07 05:49:54","2024-06-07 05:49:54","","171","","1","26","","Educational Technology & Society","Artificial Intelligent Robots for Precision Education","","","","","","","English","","","","","EBSCOhost","","Publisher: International Forum of Educational Technology & Society","","","","","Artificial intelligence; Artificial intelligence -- Usage -- Educational aspects; China; Individualized instruction -- Technology application; Robotics -- Usage -- Educational aspects; Technology application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNTEPKY6","journalArticle","2023","Gellai, Dániel Béla","Enterprising Academics: Heterarchical Policy Networks for Artificial Intelligence in British Higher Education.","ECNU Review of Education","","2096-5311","10.1177/20965311221143798","","Purpose: There is limited scholarship on artificial intelligence (AI) in higher education governance, despite the growing prevalence of AI-powered technologies in many fields, including education. However, as the technology is still nascent and has yet to reach its full potential, ideas and arguments abound, championing or cautioning against the use of these technologies. Design/Approach/Methods: To fill this gap in research on policy networks and AI in British higher education, this article employs network ethnography and discourse analysis to study how ideas about AI-powered technologies in higher education circulate in policy networks in the United Kingdom. Findings: The findings evidence a policy network showing signs of a heterarchy permeated by neoliberal rationales and populated by policy actors actively promoting artificial intelligence technologies to be used in education. Originality/Value: This paper builds on existing research by looking at the university and not-for-profit sectors, in addition to the governmental and educational technology sectors. Using network ethnography, this article expands our understanding of the policy actors involved and critically analyzes ideas regarding the use of AI in education.","2023-11-01","2024-06-07 05:49:54","2024-06-07 05:49:54","","568-596","","4","6","","ECNU Review of Education","Enterprising Academics","","","","","","","eng","","","","","EBSCOhost","","Publisher: Sage Publications Inc.","","","","","ARTIFICIAL intelligence; ETHNOLOGY; HIGHER education; NEOLIBERALISM; UNITED Kingdom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BB4P37XT","journalArticle","2024","Markos, Angelos; Prentzas, Jim; Sidiropoulou, Maretta","Pre-Service Teachers' Assessment of ChatGPT's Utility in Higher Education: SWOT and Content Analysis.","Electronics (2079-9292)","","2079-9292","10.3390/electronics13101985","","ChatGPT (GPT-3.5), an intelligent Web-based tool capable of conducting text-based conversations akin to human interaction across various subjects, has recently gained significant popularity. This surge in interest has led researchers to examine its impact on numerous fields, including education. The aim of this paper is to investigate the perceptions of undergraduate students regarding ChatGPT's utility in academic environments, focusing on its strengths, weaknesses, opportunities, and threats. It responds to emerging challenges in educational technology, such as the integration of artificial intelligence in teaching and learning processes. The study involved 257 students from two university departments in Greece—namely primary and early childhood education pre-service teachers. Data were collected using a structured questionnaire. Various methods were employed for data analysis, including descriptive statistics, inferential analysis, K-means clustering, and decision trees. Additional insights were obtained from a subset of students who undertook a project in an elective course, detailing the types of inquiries made to ChatGPT and their reasons for recommending (or not recommending) it to their peers. The findings offer valuable insights for tutors, researchers, educational policymakers, and ChatGPT developers. To the best of the authors' knowledge, these issues have not been dealt with by other researchers.","2024-05-15","2024-06-07 05:49:54","2024-06-07 05:49:54","","1985","","10","13","","Electronics (2079-9292)","Pre-Service Teachers' Assessment of ChatGPT's Utility in Higher Education","","","","","","","eng","","","","","EBSCOhost","","Publisher: MDPI","","/Users/ayaan/Zotero/storage/WUNLF3WB/Markos et al. - 2024 - Pre-Service Teachers' Assessment of ChatGPT's Util.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZN9ERBRQ","journalArticle","2024","Wang, Nan; Wang, Xiao; Su, Yu-Sheng","Critical analysis of the technological affordances, challenges and future directions of Generative AI in education: a systematic review.","Asia Pacific Journal of Education","","0218-8791","10.1080/02188791.2024.2305156","","Generative artificial intelligence has been regarded as a transformative tool. While responsible and ethical applications could bring opportunities to education, their misuse could pose demanding challenges. It is necessary to clarify the technological affordances and challenges in a normative way to lay the foundation for future development. This study addressed the dearth of literature by performing a systematic review, aiming to (i) explore the utility and availability from the technological affordances perspective; (ii) summarize the current challenges in risks prevention; and (iii) propose possible directions for future research and practice. A total of 27 academic articles published in core journals between 2020 and 2023 were analyzed, and the inductive grounded approach was used to categorize the coding schemes. The findings revealed four technological affordances: accessibility, personalization, automation, and interactivity; and five challenges: academic integrity risk, response errors and bias, over-dependence risk, the widening digital divide, and privacy and security. We propose future directions, encourage educational organizations to formulate guidelines for the ethical use of AI in education, call on educators to embrace future trends in AI education instead of shunning its use, and guide students to treat it as a thought aid and reference, rather than relying on it entirely.","2024-03-01","2024-06-07 05:49:54","2024-06-07 05:49:54","","139-155","","1","44","","Asia Pacific Journal of Education","Critical analysis of the technological affordances, challenges and future directions of Generative AI in education","","","","","","","eng","","","","","EBSCOhost","","Publisher: Taylor & Francis Ltd","","","","","Administration of Education Programs; All Other Miscellaneous Schools and Instruction; ARTIFICIAL intelligence in education; EDUCATION associations; EDUCATIONAL planning; Educational Support Services; EDUCATIONAL technology; TEACHER education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8P2VF9D","book","2023","Schlippe, Tim; Cheng, Eric C. K.; Wang, Tianchong","Artificial Intelligence in Education Technologies: New Development and Innovative Practices : Proceedings of 2023 4th International Conference on Artificial Intelligence in Education Technology","","978-981-9979-46-2","","","","This book is a collection of selected research papers presented at the 2023 4th International Conference on Artificial Intelligence in Education Technology (AIET 2023), held in Berlin, Germany, on June 30 - July 2, 2023. AIET establishes a platform for AI in education researchers to present research, exchange innovative ideas, propose new models, as well as demonstrate advanced methodologies and novel systems. It is a timely and up-to-date publication responsive to the rapid development of AI technologies, practices and their increasingly complex interplay with the education domain. It promotes the cross-fertilisation of knowledge and ideas from researchers in various fields to construct the interdisciplinary research area of AI in Education. These subject areas include computer science, cognitive science, education, learning sciences, educational technology, psychology, philosophy, sociology, anthropology and linguistics. The feature of this book will contribute from diverse perspectives to form a dynamic picture of AI in Education. It also includes various domain-specific areas for which AI and other education technology systems have been designed or used in an attempt to address challenges and transform educational practice. This timely publication is in line with UNESCO's Beijing Consensus on Artificial Intelligence and Education. It is committed to exploring how AI may play a role in bringing more innovative practices, transforming education, and triggering an exponential leap towards the achievement of the Education 2030 Agenda. Providing broad coverage of recent technology-driven advances and addressing a number of learning-centric themes, the book is an informative and useful resource for researchers, practitioners, education leaders and policy-makers who are involved or interested in AI and education.","2023-01-01","2024-06-07 05:49:54","2024-06-07 05:49:54","","","","","00190","","","Artificial Intelligence in Education Technologies","Lecture Notes on Data Engineering and Communications Technologies","","","","Springer","Singapore","English","","","","","EBSCOhost","","","","","","","Artificial intelligence--Educational applications--Congresses; COMPUTERS / Artificial Intelligence / General; EDUCATION / Computers & Technology; EDUCATION / Research; Educational technology--Congresses; MATHEMATICS / Probability & Statistics / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCRTNDAV","journalArticle","2019","Bimbo, Joao; Turco, Enrico; Ghazaei Ardakani, Mahdi; Pozzi, Maria; Salvietti, Gionata; Bo, Valerio; Malvezzi, Monica; Prattichizzo, Domenico","Exploiting Robot Hand Compliance and Environmental Constraints for Edge Grasps","Frontiers in robotics and AI","","2296-9144","10.3389/frobt.2019.00135","","This paper presents a method to grasp objects that cannot be picked directly from a table, using a soft, underactuated hand. These grasps are achieved by dragging the object to the edge of a table, and grasping it from the protruding part, performing so-called slide-to-edge grasps. This type of approach, which uses the environment to facilitate the grasp, is named Environmental Constraint Exploitation (ECE), and has been shown to improve the robustness of grasps while reducing the planning effort. The paper proposes two strategies, namely Continuous Slide and Grasp and Pivot and Re-Grasp, that are designed to deal with different objects. In the first strategy, the hand is positioned over the object and assumed to stick to it during the sliding until the edge, where the fingers wrap around the object and pick it up. In the second strategy, instead, the sliding motion is performed using pivoting, and thus the object is allowed to rotate with respect to the hand that drags it toward the edge. Then, as soon as the object reaches the desired position, the hand detaches from the object and moves to grasp the object from the side. In both strategies, the hand positioning for grasping the object is implemented using a recently proposed functional model for soft hands, the closure signature, whereas the sliding motion on the table is executed by using a hybrid force-velocity controller. We conducted 320 grasping trials with 16 different objects using a soft hand attached to a collaborative robot arm. Experiments showed that the Continuous Slide and Grasp is more suitable for small objects (e.g., a credit card), whereas the Pivot and Re-Grasp performs better with larger objects (e.g., a big book). The gathered data were used to train a classifier that selects the most suitable strategy to use, according to the object size and weight. Implementing ECE strategies with soft hands is a first step toward their use in real-world scenarios, where the environment should be seen more as a help than as a hindrance.","2019","2024-06-07 05:53:22","2024-06-07 05:53:22","","135","","","6","","Front Robot AI","","","","","","","","eng","","","","","PubMed","","PMID: 33501150 PMCID: PMC7805883","","/Users/ayaan/Zotero/storage/R9SW7S5Q/Bimbo et al. - 2019 - Exploiting Robot Hand Compliance and Environmental.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/33501150","","edge grasp; environmental constraints exploitation; grasp planning; sliding; soft robotic hands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
