"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7WWUNDCK","journalArticle","2020","Chen, Lijia; Chen, Pingping; Lin, Zhijian","Artificial Intelligence in Education: A Review","IEEE Access","","2169-3536","10.1109/ACCESS.2020.2988510","https://ieeexplore.ieee.org/document/9069875","The purpose of this study was to assess the impact of Artificial Intelligence (AI) on education. Premised on a narrative and framework for assessing AI identified from a preliminary analysis, the scope of the study was limited to the application and effects of AI in administration, instruction, and learning. A qualitative research approach, leveraging the use of literature review as a research design and approach was used and effectively facilitated the realization of the study purpose. Artificial intelligence is a field of study and the resulting innovations and developments that have culminated in computers, machines, and other artifacts having human-like intelligence characterized by cognitive abilities, learning, adaptability, and decision-making capabilities. The study ascertained that AI has extensively been adopted and used in education, particularly by education institutions, in different forms. AI initially took the form of computer and computer related technologies, transitioning to web-based and online intelligent education systems, and ultimately with the use of embedded computer systems, together with other technologies, the use of humanoid robots and web-based chatbots to perform instructors' duties and functions independently or with instructors. Using these platforms, instructors have been able to perform different administrative functions, such as reviewing and grading students' assignments more effectively and efficiently, and achieve higher quality in their teaching activities. On the other hand, because the systems leverage machine learning and adaptability, curriculum and content has been customized and personalized in line with students' needs, which has fostered uptake and retention, thereby improving learners experience and overall quality of learning.","2020","2024-06-04 07:35:31","2024-06-04 07:35:31","2024-06-04 07:35:31","75264-75278","","","8","","","Artificial Intelligence in Education","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Access","","/Users/ayaan/Zotero/storage/9IET9KZ8/Chen et al. - 2020 - Artificial Intelligence in Education A Review.pdf","","","artificial intelligence; Education; leaner; Learning (artificial intelligence); Microcomputers; Robots; Technological innovation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8LH95EZ","journalArticle","2024","Cheung, Kason Ka Ching; Long, Yun; Liu, Qian; Chan, Ho-Yin","Unpacking Epistemic Insights of Artificial Intelligence (AI) in Science Education: A Systematic Review","Science & Education: Contributions from History, Philosophy and Sociology of Science and Mathematics","","0926-7220","10.1007/s11191-024-00511-5","","There is a growing application of Artificial Intelligence (AI) in K-12 science classrooms. In K-12 education, students harness AI technologies to acquire scientific knowledge, ranging from automated personalized virtual scientific inquiry to generative AI tools such as ChatGPT, Sora, and Google Bard. These AI technologies inherit various strengths and limitations in facilitating students’ engagement in scientific activities. There is a lack of framework to develop K-12 students’ epistemic considerations of the interaction between the disciplines of AI and science when they engage in producing, revising, and critiquing scientific knowledge using AI technologies. To accomplish this, we conducted a systematic review for studies that implemented AI technologies in science education. Employing the family resemblance approach as our analytical framework, we examined epistemic insights into relationships between science and AI documented in the literature. Our analysis centered on five distinct categories: aims and values, methods, practices, knowledge, and social–institutional aspects. Notably, we found that only three studies mentioned epistemic insights concerning the interplay between scientific knowledge and AI knowledge. Building upon these findings, we propose a unifying framework that can guide future empirical studies, focusing on three key elements: (a) AI’s application in science and (b) the similarities and (c) differences in epistemological approaches between science and AI. We then conclude our study by proposing a development trajectory for K-12 students’ learning of AI-science epistemic insights.","2024-03-15","2024-06-05 12:01:13","2024-06-05 12:01:14","","1-31","","","","","","Unpacking Epistemic Insights of Artificial Intelligence (AI) in Science Education","","","","","","","","","","","","EBSCOhost","","Place: Dordrecht Publisher: Springer Netherlands","","","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edssjs&AN=edssjs.67B60E90&site=eds-live&custid=s4575703&scope=cite","","Artificial Intelligence; Epistemic insights; Family resemblance approach; Science education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJVPH3M5","journalArticle","2024","Yi, Honghu; Liu, Ting; Lan, Gongjin","The key artificial intelligence technologies in early childhood education: a review","Artificial Intelligence Review: An International Science and Engineering Journal","","0269-2821","10.1007/s10462-023-10637-7","","Artificial Intelligence (AI) technologies have been applied in various domains, including early childhood education (ECE). Integration of AI educational technology is a recent significant trend in ECE. Currently, there are more and more studies of AI in ECE. To date, there is a lack of survey articles that discuss the studies of AI in ECE. In this paper, we provide an up-to-date and in-depth overview of the key AI technologies in ECE that provides a historical perspective, summarizes the representative works, outlines open questions, discuss the trends and challenges through a detailed bibliometric analysis, and provides insightful recommendations for future research. We mainly discuss the studies that apply AI-based robots and AI technologies to ECE, including improving the social interaction of children with an autism spectrum disorder. This paper significantly contributes to provide an up-to-date and in-depth survey that is suitable as introductory material for beginners to AI in ECE, as well as supplementary material for advanced users.","2024-01-01","2024-06-05 12:01:13","2024-06-05 12:01:14","","","","1","57","","","The key artificial intelligence technologies in early childhood education","","","","","","","","","","","","EBSCOhost","","Place: Dordrecht Publisher: Springer Netherlands","","; /Users/ayaan/Zotero/storage/JN393HEH/Yi et al. - 2024 - The key artificial intelligence technologies in ea.pdf","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edssjs&AN=edssjs.D43B300A&site=eds-live&custid=s4575703&scope=cite","","Early childhood education; Artificial Intelligence; Educational technology; Improving classroom teaching; Teaching/learning strategies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ZTUU2QV","journalArticle","2024","Lee, Joohi; Jo, Junoh; Lee, Joo Ok; Kim, So Hyang","Incorporating Humanoid Artificial Intelligence (AI) Robots into Early Childhood Education","Early Childhood Education Journal","","1082-3301","10.1007/s10643-024-01690-0","","In recent times, the field of education has experienced significant technological advancements, especially in area of Artificial Intelligence (AI). A particularly groundbreaking development is the emergence of humanoid AI robots, which holds immense promise for enhancing children’s learning experiences during early childhood. Unlike other forms of AI, humanoid AI robots bear a closer resemblance to humans, making them more approachable and engaging for young children. This paper explores a practical framework for incorporating humanoid AI robots into early childhood education. This framework includes several key components: first, introducing AI concepts in a child-friendly manner; second, fostering a relationship between children and AI; third, designing developmentally appropriate activities facilitated by AI; and finally, addressing the challenges associated with integrating AI into early childhood classrooms. The aim is to utilize the potential of AI in a way that enriches the educational environment for young learners.","2024-05-30","2024-06-05 12:01:13","2024-06-05 12:01:14","","1-9","","","","","","","","","","","","","","","","","","EBSCOhost","","Place: Dordrecht Publisher: Springer Netherlands","","","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edssjs&AN=edssjs.BD994A29&site=eds-live&custid=s4575703&scope=cite","","Artificial intelligence; AI; AI in early childhood; AI integration; Classroom activities with AI; Humanoid AI; Use of AI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5DJ8TCZ","journalArticle","2024","Su, Jiahong","Development and validation of an artificial intelligence literacy assessment for kindergarten children","Education and Information Technologies: The Official Journal of the IFIP Technical Committee on Education","","1360-2357","10.1007/s10639-024-12611-4","","With Artificial intelligence (AI) literacy gaining more and more attention at the kindergarten level, it is becoming critical to assess the AI literacy levels of kindergarten children and develop appropriate courses to enhance their foundational AI knowledge and skills. This study proposes and validates a comprehensive AI literacy assessment tool (AI4KGA) for kindergarten children. The research involved 215 children and 19 experts. The validity and reliability of the AI4KG assessment were evaluated by experts, with Cronbach’s α and Item Response Theory approach. The results demonstrated that the AI literacy assessment (AI4KGA) was valid and reliable. We also found that younger children scored lower on the AI literacy assessment than older children and girls demonstrated a slightly higher AI literacy score than boys after they completed the AI4KG curriculum. The AI4KGA has potential applications for various stakeholders, such as policymakers, educators, instructional designers, researchers, and educational institutions. The findings suggest that the AI4KGA can evaluate children’s learning outcomes in terms of AI literacy. Overall, this research contributes to developing AI literacy assessment in kindergarten children and advancing AI literacy education.","2024-05-04","2024-06-05 12:01:13","2024-06-05 12:01:14","","1-21","","","","","","","","","","","","","","","","","","EBSCOhost","","Place: New York Publisher: Springer US","","","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edssjs&AN=edssjs.1F37914&site=eds-live&custid=s4575703&scope=cite","","Early childhood education; AI literacy; AI literacy education; AI literacy assessment; AI4KGA; Kindergarten children; Validation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQW7EI79","journalArticle","2024","Su, Jiahong","Kindergarten Teachers’ Perceptions of AI Literacy Education for Young Children","International Journal of Technology and Design Education","","0957-7572","10.1007/s10798-024-09876-8","","Educators and researchers have increasingly recognized the importance of AI literacy. Despite the growing body of AI literacy literature, the challenges and enablers for introducing AI literacy for kindergarten children is still underexplored and undertheorized in early childhood education. It is critical to understand the challenges and enablers associated with promoting AI literacy and perceptions in kindergartens needs to be further researched and evaluated. This study aims to identify teachers’ views on the importance of AI literacy in kindergartens and the challenges and enablers of promoting AI literacy in kindergartens. Data was collected from 15 teachers through individual interviews. It was found that the four main challenges of promoting AI literacy in kindergarten classrooms, including lack of school support, lack of children’s comprehensive ability, insufficient teacher knowledge of AI, and lack of curriculum guidelines. The three main enablers of promoting AI literacy in kindergarten classrooms are government support, school support, and social needs. We also found that more than half of teachers in this study considered AI literacy education is crucial for kindergarten children. This study develops an AI literacy policy framework for young children that includes three dimensions—governance, pedagogical, and operational and management. Based on the findings, suggestions for educators, curriculum developers, policymakers, and researchers are discussed.","2024-03-15","2024-06-05 12:01:13","2024-06-05 12:01:14","","1-21","","","","","","","","","","","","","","","","","","EBSCOhost","","Place: Dordrecht Publisher: Springer Netherlands","","","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edssjs&AN=edssjs.EDBBE186&site=eds-live&custid=s4575703&scope=cite","","Early childhood education; AI literacy; AI literacy policy framework; Challenges; Enablers; Kindergarten classrooms; Teachers’ perceptions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A3QMD59J","journalArticle","2024","Černý, Michal","University Students' Conceptualisation of AI Literacy: Theory and Empirical Evidence","Social Sciences (2076-0760)","","20760760","10.3390/socsci13030129","","This research endeavours to systematically investigate the multifaceted domain of AI literacy, given the pervasive impact of artificial intelligence on diverse facets of contemporary human existence. The inquiry is motivated by a fundamental question posed to educators: how best to cultivate AI literacies and competencies and how these proficiencies are structured and influenced. Employing a rigorous two-part methodology, the initial phase scrutinises 28 studies from the SCOPUS database, unveiling five distinct discourses germane to AI literacy. Subsequently, the second phase involves the administration of questionnaires to 73 students, whose responses undergo thematic analysis to discern patterns within the four domains delineated by Ng et al. The ensuing discourse underscores a pivotal revelation: despite formal adherence to established discourses, the conceptualisation of AI literacy necessitates a departure from conventional perspectives. Ethical principles, elucidated by students, emerge not merely as individual components but as integral facets of a broader societal literacy profile, thereby advocating a paradigm shift towards social reflection. This novel insight prompts a critical re-evaluation of AI literacy's prevailing assumptions and conceptual frameworks, urging a transition towards models grounded in ecological or network dynamic interactionist principles.","2024-03","2024-06-05 12:01:13","2024-06-05 12:01:14","","129","","3","13","","","University Students' Conceptualisation of AI Literacy","","","","","","","","","","","","EBSCOhost","","","","; /Users/ayaan/Zotero/storage/B9GUKKRY/Černý - 2024 - University Students' Conceptualisation of AI Liter.pdf","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edb&AN=176387216&site=eds-live&custid=s4575703&scope=cite","","AI literacy; ARTIFICIAL intelligence; COLLEGE students; control; DATABASES; distributed mind; ecological paradigm; INTERORGANIZATIONAL networks; literacy; LITERACY; modernity; neural networks; questionnaire; social ethics; survey study; THEMATIC analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZRN6SU47","newspaperArticle","2024","","Vrije Universiteit Amsterdam Details Findings in Artificial Intelligence (The Key Artificial Intelligence Technologies In Early Childhood Education: a Review)","Pediatrics Week","","1944-2637","","","2024 FEB 17 (NewsRx) -- By a News Reporter-Staff News Editor at Pediatrics Week -- A new study on Artificial Intelligence is now available. According to news reporting from Amsterdam, [...]","2024-02-17","2024-06-05 12:01:13","2024-06-05 12:01:15","","690","","","","","","Vrije Universiteit Amsterdam Details Findings in Artificial Intelligence (The Key Artificial Intelligence Technologies In Early Childhood Education","","","","","","","","","","","","EBSCOhost","","Publisher: NewsRX LLC","","","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsgao&AN=edsgcl.782039220&site=eds-live&custid=s4575703&scope=cite","","Artificial intelligence; Artificial intelligence -- Reports -- Research; Early childhood education -- Reports -- Research; Netherlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TK6C72WN","journalArticle","2024","Li, Guang; Zarei, Mohammad Amin; Alibakhshi, Goudarz; Labbafi, Akram","Teachers and educators' experiences and perceptions of artificial-powered interventions for autism groups","BMC Psychology","","20507283","10.1186/s40359-024-01664-2","","Background: Artificial intelligence-powered interventions have emerged as promising tools to support autistic individuals. However, more research must examine how teachers and educators perceive and experience these AI systems when implemented. Objectives: The first objective was to investigate informants' perceptions and experiences of AI-empowered interventions for children with autism. Mainly, it explores the informants' perceived benefits and challenges of using AI-empowered interventions and their recommendations for avoiding the perceived challenges. Methodology: A qualitative phenomenological approach was used. Twenty educators and parents with experience implementing AI interventions for autism were recruited through purposive sampling. Semi-structured and focus group interviews conducted, transcribed verbatim, and analyzed using thematic analysis. Findings: The analysis identified four major themes: perceived benefits of AI interventions, implementation challenges, needed support, and recommendations for improvement. Benefits included increased engagement and personalized learning. Challenges included technology issues, training needs, and data privacy concerns. Conclusions: AI-powered interventions show potential to improve autism support, but significant challenges must be addressed to ensure effective implementation from an educator's perspective. The benefits of personalized learning and student engagement demonstrate the potential value of these technologies. However, with adequate training, technical support, and measures to ensure data privacy, many educators will likely find integrating AI systems into their daily practices easier. Implications: To realize the full benefits of AI for autism, developers must work closely with educators to understand their needs, optimize implementation, and build trust through transparent privacy policies and procedures. With proper support, AI interventions can transform how autistic individuals are educated by tailoring instruction to each student's unique profile and needs.","2024-04-11","2024-06-05 12:01:13","2024-06-05 12:01:15","","1-12","","1","12","","","","","","","","","","","","","","","EBSCOhost","","","","; /Users/ayaan/Zotero/storage/W557H2GK/Li et al. - 2024 - Teachers and educators' experiences and perception.pdf","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edb&AN=176562725&site=eds-live&custid=s4575703&scope=cite","","Artificial intelligence; AI-empowered interventions; AUTISM; AUTISM in children; AUTISTIC children; Children with autism; DATA privacy; Educators; INDIVIDUALIZED instruction; INTERNET privacy; Parents; TEACHER educators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7NXX5LN9","journalArticle","2023","Crescenzi-Lanna, Lucrezia","Literature review of the reciprocal value of artificial and human intelligence in early childhood education","Journal of Research on Technology in Education","","15391523","10.1080/15391523.2022.2128480","","This paper presents a systematic literature review of artificial intelligence (AI)-supported teaching and learning in early childhood. The focus is on human–machine cooperation in education. International evidence and associated problems with the reciprocal contributions of humans and machines are presented and discussed, as well as future horizons regarding AI research in early education. Also, the ethical implications of applying machine learning, deep learning and learning analytics in early childhood education are considered. The method adopted has five steps: identification of the research, evaluation and selection of the literature, data extraction, synthesis, and results. The results shown that AI applications still present limitations in terms of the challenges encountered in early childhood education and data privacy and protection policies.","2023-02","2024-06-05 12:01:13","2024-06-05 12:01:15","","21-33","","1","55","","","","","","","","","","","","","","","EBSCOhost","","","","","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=asx&AN=161518542&site=eds-live&custid=s4575703&scope=cite","","Artificial intelligence; early childhood education; ARTIFICIAL intelligence; DATA extraction; DEEP learning; EARLY childhood education; ethics in research; learning analytics literature review; machine learning; MACHINE learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
