"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XAI6J2TL","preprint","2023","Cassidy, Dara; Borgne, Yann-Aël Le; Bellas, Francisco; Vuorikari, Riina; Rondin, Elise; Sharma, Madhumalti; Niewint-Gori, Jessica; Gröpler, Johanna; Gilleran, Anne; Kralj, Lidija","Use Scenarios &amp; Practical Examples of AI Use in Education","","","","10.48550/ARXIV.2309.12320","https://arxiv.org/abs/2309.12320","This report presents a set of use scenarios based on existing resources that teachers can use as inspiration to create their own, with the aim of introducing artificial intelligence (AI) at different pre-university levels, and with different goals. The Artificial Intelligence Education field (AIEd) is very active, with new resources and tools arising continuously. Those included in this document have already been tested with students and selected by experts in the field, but they must be taken just as practical examples to guide and inspire teachers creativity.","2023","2024-05-31 07:34:18","2024-05-31 07:34:18","2024-05-31 07:34:18","","","","","","","","","","","","arXiv","","","arXiv.org perpetual, non-exclusive license","","","","DOI.org (Datacite)","","Version Number: 1","","","","","Artificial Intelligence (cs.AI); Computers and Society (cs.CY); FOS: Computer and information sciences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R96ZNWX8","journalArticle","2023","Su, Jiahong; Ng, Davy Tsz Kit; Chu, Samuel Kai Wah","Artificial Intelligence (AI) Literacy in Early Childhood Education: The Challenges and Opportunities","Computers and Education: Artificial Intelligence","","2666-920X","10.1016/j.caeai.2023.100124","https://www.sciencedirect.com/science/article/pii/S2666920X23000036","Nowadays, Artificial Intelligence (AI) literacy has become an emerging topic in digital literacy education research. However, it is still under-explored in early childhood education (ECE) since the AI curriculum for young children has just been designed in recent years. A scoping review was conducted to examine the thematic and content analysis of 16 empirical papers from 2016 to 2022. This scoping reviews evaluate, synthesize, and display 16 studies on AI literacy in early childhood education, including curriculum design, AI tools, pedagogical approaches, research designs, assessment methods, and findings. The discussion of the AI literacy implementation in ECE contributes to providing references for educators and researchers to design interventions to engage young children in AI learning. Further, we identified a set of challenges and opportunities of AI literacy. Several challenges included (1) lack of teachers' AI knowledge, skills, and confidence; (2) lack of curriculum design; and (3) lack of teaching guidelines. Although educators meet challenges at the beginning stage of developing AI instructional design for young children, AI learning could bring learning opportunities and foster young children's AI literacy in terms of AI concepts, practices and perspectives. We foresee that there will be a growing number of age-appropriate curriculum and tools for the ECE level. At the end, we also make some recommendations for future researchers and educators to improve AI literacy research and learning design in early childhood education.","2023-01-01","2024-05-31 08:46:22","2024-06-03 10:37:29","2024-05-31 08:46:22","100124","","","4","","Computers and Education: Artificial Intelligence","Artificial Intelligence (AI) Literacy in Early Childhood Education","","","","","","","","","","","","ScienceDirect","","","","/Users/ayaan/Zotero/storage/SPBM9Y3T/Su et al. - 2023 - Artificial Intelligence (AI) Literacy in Early Chi.pdf; ; /Users/ayaan/Zotero/storage/T2T2PYIW/S2666920X23000036.html","https://www.researchgate.net/profile/Davy-Tsz-Kit-Ng/publication/367064159_Artificial_intelligence_AI_literacy_in_early_childhood_education_The_challenges_and_opportunities/links/63f8a30db1704f343f7c7698/Artificial-Intelligence-AI-Literacy-in-Early-Childhood-Education-The-Challenges-and-Opportunities.pdf","","Early childhood education; AI; AI education; AI literacy; Challenges and opportunities; Learning and teaching AI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AM6T2DBP","bookSection","2013","Prentzas, Jim","Artificial Intelligence Methods in Early Childhood Education","Artificial Intelligence, Evolutionary Computing and Metaheuristics: In the Footsteps of Alan Turing","978-3-642-29694-9","","","https://doi.org/10.1007/978-3-642-29694-9_8","Educational technology constitutes an important aspect in modern education providing unique learning experiences to students and improving their learning. Technological resources (especially computers) have been integrated in education for decades. However, integration of educational technology in early childhood education is a more recent trend compared to the other levels of education. This fact creates the need to develop, apply and study application of resources and methodologies specifically addressed to young children. Artificial Intelligence approaches have been incorporated to educational technology resources providing improved interaction to learners. In this paper, Artificial Intelligence methods exploited in the context of early childhood educational technology are surveyed. The discussion mainly concerns computer-based learning systems incorporating intelligent methods (e.g., Intelligent Tutoring and Adaptive Educational Hypermedia Systems) and educational robots addressed to early childhood. To the best of the author’s knowledge, such issues have not been thoroughly discussed till now in literature.","2013","2024-05-31 08:49:32","2024-05-31 08:49:32","2024-05-31 08:49:32","169-199","","","","","","","","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","","DOI: 10.1007/978-3-642-29694-9_8","","","","","","Yang, Xin-She","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IWT6NCSH","webpage","","","Full article: Artificial Intelligence (AI) literacy in early childhood education: an intervention study in Hong Kong","","","","","https://www.tandfonline.com/doi/full/10.1080/10494820.2023.2217864","","","2024-05-31 08:50:03","2024-06-05 07:36:04","2024-05-31 08:50:03","","","","","","","","","","","","","","","","","","","","","","","","","Read","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGHP5RXV","journalArticle","2022","Yang, Weipeng","Artificial Intelligence education for young children: Why, what, and how in curriculum design and implementation","Computers and Education: Artificial Intelligence","","2666-920X","10.1016/j.caeai.2022.100061","https://www.sciencedirect.com/science/article/pii/S2666920X22000169","Artificial intelligence (AI) education has posed fundamental challenges to early childhood education (ECE), including (1) why AI is necessary and appropriate for learning in the early years, (2) what is the subset of key AI ideas and concepts that can be learned by children, and (3) how to engage children in a meaningful experience that allows them to acquire these fundamental AI concepts. This report from the ECE field discusses the key considerations for developing an AI curriculum for young children. These key considerations altogether present an innovative pedagogical model for AI literacy education in early childhood. This model argues that AI literacy is an organic part of digital literacy for all citizens in an increasingly intelligent society. The core AI knowledge that can be explored with young children is: Using large amounts of data input, AI algorithms can be continuously trained to identify patterns, make predictions, and recommend actions, even though with limitations. Based on the theoretical notions of learning-by-making and pedagogy-as-relational, an embodied, culturally responsive approach should be used to enable young children's exploration with AI technologies. Finally, an exemplary curriculum named “AI for Kids” is introduced to demonstrate this pedagogical model and explain how educators can provide children culturally responsive inquiry opportunities to interact with and understand AI technologies. The synthesis of knowledge regarding “Why”, “What”, and “How” to do with AI education for young children informs a new way to engage children in STEM and understanding the digital world.","2022-01-01","2024-05-31 10:35:34","2024-05-31 10:35:34","2024-05-31 10:35:34","100061","","","3","","Computers and Education: Artificial Intelligence","Artificial Intelligence education for young children","","","","","","","","","","","","ScienceDirect","","","","","","","Early childhood education; AI literacy; Artificial intelligence education; Digital equity; Pedagogical considerations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9H5IXZAA","journalArticle","2022","Modapothula, Ramu; Shaik, Nazeer; Head, Prof; Arulprakash, P; Kumar, Sudhanshu","Study on Potential AI Applications in Childhood Education","International Journal of Early Childhood Special Education","","","10.9756/INT-JECSE/V14I3.1215","","The artificial intelligence age will have a significant impact on future civilization. This research investigates the effects of the artificial intelligence age on early childhood education with parental assistance. First, we addressed the significance of AI in early child education, then we assessed the impacts and opportunities of the artificial intelligence age on early child education, and lastly we addressed practical uses, general issues of artificial intelligence in early child education. According to the study, the artificial intelligence age has the ability to give superior early childhood education than traditional classrooms.","2022-06-29","2024-05-31 11:45:06","2024-05-31 11:45:06","","2022","","","14","","International Journal of Early Childhood Special Education","","","","","","","","","","","","","ResearchGate","","","","/Users/ayaan/Zotero/storage/PBI2TZMX/Modapothula et al. - 2022 - Study on Potential AI Applications in Childhood Ed.pdf; ","https://www.researchgate.net/profile/Ramu_Modapothula/publication/361605765_Study_on_Potential_AI_Applications_in_Childhood_Education/links/62bc0fb360e77b7db83cac93/Study-on-Potential-AI-Applications-in-Childhood-Education.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUSQE3VW","conferencePaper","2024","Bansod, Sara; Ranade, Pranita; Verma, Indresh Kumar","AI-Integrated Smart Toy for Enhancing Cognitive, Emotional, and Motor Skills in Toddlers","Communication and Intelligent Systems","978-981-9720-79-8","","10.1007/978-981-97-2079-8_21","","During early childhood, a remarkable phase of human growth unfolds. Neuroplasticity in toddlers refers to the brain’s ability to change and adapt remarkably during early childhood. A child’s future can be significantly impacted based on the cognitive, emotional, and motor development during the early stage. Therefore, it is imperative to train children aged 1 to 4 with appropriate care and provide them with a more personalized learning experience, depending on their progress. Toddlers' development of hand and eye movement, facial expressions, rhythms, rhymes, etc., occurs when they play traditional games like pat-a-cake or peek-a-boo at daycares or preschools. Their progress is tracked based on factors such as language development, social and emotional development, working habits, eating habits, personality development, etc. However, carrying out the exercises and monitoring each child's development in situations where many kids are present is challenging. These toddlers need a more individualized approach as the development of every child is different. Immersive technology is currently used in personalized learning using artificial intelligence and IoT sensors like motion and audio sensors. To apply this technology, this study uses AI-integrated smart toys with sensors to engage children in various activities. This will assist individualized learning through personalizing experiences according to every child's requirement, offering possibilities. A systematic design process was followed to determine the challenges in this area, development in children, activities that affect their development, and technology use. A design concept has been proposed after following the double-diamond design process. The suggested design result uses technologies such as artificial intelligence, IoT sensors, microphones, face detection cameras, and a dashboard reflecting data collected by the smart toy and processed using AI analytics to track the child’s development.","2024","2024-05-31 11:46:46","2024-05-31 11:46:46","","265-275","","","","","","","","","","","Springer Nature","Singapore","en","","","","","Springer Link","","","","","","","","Sharma, Harish; Shrivastava, Vivek; Tripathi, Ashish Kumar; Wang, Lipo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VSP8JXKL","journalArticle","","Kanders, Karlis; Stupple-Harris, Louis; Smith, Laurie; Gibson, Jenny Louise","Perspectives on the impact of generative AI on early-childhood development and education","Infant and Child Development","","1522-7219","10.1002/icd.2514","https://onlinelibrary.wiley.com/doi/abs/10.1002/icd.2514","Generative artificial intelligence (GAI) is rapidly becoming ubiquitous in many contexts. There is limited scholarship, however, in the fields of Developmental Psychology and Early Childhood Education exploring the implications of generative AI for babies and young children. In this Perspectives piece, we discuss potential use cases, opportunities, and risks for the application of AI in early childhood. Our insights are informed by extensive discussion with stakeholders and by desk research carried out in our roles as academics and analysts in a social innovation foundation. Our aim is to stimulate nuanced and informed discourse on the topic of generative AI in early childhood that can inform innovation in both research and practice.","","2024-05-31 12:04:07","2024-05-31 12:04:07","2024-05-31 12:04:07","e2514","","n/a","n/a","","","","","","","","","","en","© 2024 The Authors. Infant and Child Development published by John Wiley & Sons Ltd.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/icd.2514","","/Users/ayaan/Zotero/storage/4QXZ9N4K/Kanders et al. - Perspectives on the impact of generative AI on ear.pdf","","","AI technology; childhood; developmental psychology; early years; generative artificaI intelligence; infancy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YEKJP6BY","conferencePaper","2020","Liu, Feng; Kromer, Pavel","Early Age Education on Artificial Intelligence: Methods and Tools","Proceedings of the Fourth International Scientific Conference “Intelligent Information Technologies for Industry” (IITI’19)","978-3-030-50097-9","","","","The development of artificial intelligence has become one of the key drivers of modern society. An attention has to be paid to the methods and tools available for training and education of users of intelligent systems. The youngest generation is exposed to artificial intelligence from an early age and its education is therefore of utmost importance. With respect to the early childhood development, the concept of artificial intelligence should be introduced into education as soon as possible. It can greatly contribute to the development of children’s creativity, collaboration, comprehension and other abilities. There are many tools that can be used to aid the early age education on artificial intelligence. In this article, a brief survey of tools for the education of children in different age groups on artificial intelligence is provided.","2020","2024-05-31 12:05:44","2024-06-06 12:03:54","","696-706","","","","","","Early Age Education on Artificial Intelligence","","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","","","","","Kovalev, Sergey; Tarassov, Valery; Snasel, Vaclav; Sukhanov, Andrey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GYK328G","journalArticle","2024","Sit, Masganti; Halimah, Siti; Robingatin, Robingatin; Hasnida, Hasnida; Lita, Lita","THE IMPACT OF ARTIFICIAL INTELLIGENCE IN IMPROVING NUMBER AND LETTER LITERACY IN EARLY CHILDHOOD","International Conference on Humanity Education and Society (ICHES)","","2988-5027","","https://proceedingsiches.com/index.php/ojs/article/view/217","Number and letter literacy skills are very important for early childhood. These two skills help children in successful learning at the next level of education. On the other hand, the development of various artificial intelligence applications in learning numbers and letters can be utilized by teachers to improve both skills. This research aims to analyze the impact of artificial intelligence in developing letter and number literacy in early childhood. This research uses a literature review approach sourced from articles that have been published in reputable international journals that examine the relationship between the use of applications in developing literacy of numbers and letters in early childhood. The results show that various artificial intelligence applications have been used to improve number and letter literacy in early childhood. However, the appropriate use needs to be studied in the future.","2024-02-05","2024-05-31 12:07:15","2024-05-31 12:07:15","2024-05-31 12:07:15","","","1","3","","","","","","","","","","en","Copyright (c) 2024 International Conference on Humanity Education and Society (ICHES)","","","","proceedingsiches.com","","Number: 1","","/Users/ayaan/Zotero/storage/3QMGZSTQ/Sit et al. - 2024 - THE IMPACT OF ARTIFICIAL INTELLIGENCE IN IMPROVING.pdf","","","Artificial intelligence; Early childhood; Reading skills; Writing skills","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
